Longitud,Latitud,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septimbre,Octubre,Noviembre,Diciembre,Media,Media Calculada,Desviacion
-178.250,-88.750,-29.1,-41.2°,-54.6°,-58.0°,-58.2°,-58.8°,-60.2°,-60.3°,-60.1°,-51.6°,-39.4°,-29.0°,-50.2,-50.0,-0.2
-178.250,-89.250,-28.5,-40.9°,-54.2°,-57.6°,-57.8°,-58.4°,-59.7°,-59.8°,-59.6°,-51.2°,-38.9°,-28.5°,-49.7,-49.6,-0.1
-178.250,-89.750,-27.7,-40.2°,-53.6°,-57.0°,-57.2°,-57.7°,-59.1°,-59.1°,-59.0°,-50.5°,-38.1°,-27.7°,-49.0,-48.9,-0.1
-177.750,71.250,-23.1,-25.4°,-24.2°,-17.3°,-6.7°,0.6°,2.4°,2.0°,-1.3°,-8.4°,-15.9°,-22.1°,-11.5,-11.6,0.1
-177.750,68.250,-23.0,-24.6°,-21.7°,-16.9°,-6.4°,2.6°,5.5°,4.5°,1.2°,-6.6°,-14.2°,-21.6°,-10.0,-10.1,0.1
-177.750,67.750,-22.8,-23.8°,-20.2°,-16.7°,-6.9°,2.4°,5.6°,4.7°,1.5°,-6.0°,-13.3°,-21.0°,-9.6,-9.7,0.1
-177.750,67.250,-21.5,-22.0°,-18.1°,-15.4°,-6.3°,3.1°,6.4°,5.8°,2.5°,-4.5°,-11.5°,-19.4°,-8.4,-8.4,0.0
-177.750,66.750,-23.7,-23.4°,-20.4°,-17.2°,-9.0°,0.3°,4.0°,3.6°,-0.1°,-6.8°,-13.9°,-21.2°,-10.5,-10.7,0.2
-177.750,66.250,-20.3,-19.6°,-18.0°,-13.3°,-5.5°,3.3°,7.3°,7.0°,2.6°,-4.0°,-11.2°,-17.5°,-7.3,-7.4,0.1
-177.750,65.750,-18.9,-18.5°,-17.7°,-11.8°,-4.1°,4.1°,8.3°,8.2°,3.2°,-3.3°,-10.7°,-16.6°,-6.4,-6.5,0.1
-177.750,-84.750,-19.3,-27.7°,-38.7°,-43.4°,-44.7°,-44.7°,-48.4°,-48.6°,-47.6°,-38.8°,-27.9°,-19.3°,-37.4,-37.4,0.0
-177.750,-85.250,-19.4,-28.3°,-39.6°,-44.1°,-45.4°,-45.2°,-48.7°,-48.9°,-48.0°,-39.3°,-28.2°,-19.4°,-37.9,-37.9,0.0
-177.750,-85.750,-22.6,-32.2°,-43.8°,-48.1°,-49.1°,-49.1°,-52.2°,-52.4°,-51.7°,-43.0°,-31.7°,-22.6°,-45.7,-41.5,-4.2
-177.750,-86.250,-25.0,-35.2°,-47.2°,-51.3°,-51.9°,-52.2°,-54.8°,-55.1°,-54.4°,-45.8°,-34.4°,-24.9°,-44.4,-44.4,0.0
-177.750,-86.750,-26.7,-37.6°,-49.9°,-53.7°,-54.3°,-54.6°,-56.9°,-57.1°,-56.6°,-48.1°,-36.4°,-26.6°,-46.7,-46.5,-0.2
-177.750,-87.250,-27.7,-39.0°,-51.7°,-55.3°,-55.8°,-56.2°,-58.2°,-58.4°,-58.0°,-49.4°,-37.6°,-27.7°,-48.0,-47.9,-0.1
-177.750,-87.750,-28.4,-40.1°,-53.0°,-56.5°,-56.9°,-57.3°,-59.2°,-59.3°,-59.0°,-50.5°,-38.5°,-28.4°,-49.0,-48.9,-0.1
-177.750,-88.250,-29.1,-41.1°,-54.3°,-57.7°,-58.1°,-58.6°,-60.2°,-60.2°,-60.0°,-51.5°,-39.3°,-29.1°,-50.0,-49.9,-0.1
-177.750,-88.750,-29.1,-41.2°,-54.6°,-58.0°,-58.2°,-58.8°,-60.2°,-60.2°,-60.1°,-51.6°,-39.4°,-29.0°,-50.1,-50.0,-0.1
-177.750,-89.250,-28.4,-40.8°,-54.2°,-57.6°,-57.8°,-58.3°,-59.7°,-59.7°,-59.6°,-51.2°,-38.8°,-28.4°,-49.6,-49.5,-0.1
-177.750,-89.750,-27.7,-40.2°,-53.6°,-57.0°,-57.2°,-57.7°,-59.1°,-59.1°,-59.0°,-50.5°,-38.1°,-27.7°,-49.0,-48.9,-0.1
-177.250,67.750,-22.6,-23.6°,-19.4°,-16.8°,-6.9°,2.6°,5.7°,4.8°,1.9°,-5.6°,-12.7°,-20.9°,-9.4,-9.5,0.1
-177.250,67.250,-22.0,-22.5°,-17.6°,-16.2°,-7.0°,2.8°,6.1°,5.2°,2.5°,-4.7°,-11.6°,-20.0°,-8.7,-8.8,0.1
-177.250,66.750,-21.1,-21.0°,-16.6°,-15.0°,-6.6°,3.1°,6.6°,6.1°,2.9°,-3.9°,-10.7°,-18.8°,-7.8,-7.9,0.1
-177.250,66.250,-21.4,-20.9°,-18.2°,-14.9°,-7.0°,2.2°,6.0°,5.6°,1.9°,-4.7°,-11.8°,-18.8°,-8.4,-8.5,0.1
-177.250,65.750,-19.1,-18.7°,-17.3°,-12.3°,-4.7°,3.6°,7.8°,7.5°,3.0°,-3.4°,-10.5°,-16.7°,-8.7,-6.7,-2.0
-177.250,51.750,0.6,0.4°,1.3°,2.5°,4.4°,6.4°,8.7°,9.7°,8.5°,5.9°,3.1°,1.4°,4.5,4.4,0.1
-177.250,-84.750,-18.0,-26.4°,-37.3°,-42.1°,-43.4°,-43.2°,-47.1°,-47.3°,-46.3°,-37.5°,-26.6°,-18.0°,-36.1,-36.1,0.0
-177.250,-85.250,-17.7,-26.7°,-37.9°,-42.5°,-43.7°,-43.5°,-47.0°,-47.3°,-46.4°,-37.7°,-26.6°,-17.8°,-36.3,-36.2,-0.1
-177.250,-85.750,-22.7,-32.3°,-43.9°,-48.1°,-49.1°,-49.1°,-52.3°,-52.5°,-51.7°,-43.1°,-31.8°,-22.7°,-41.7,-41.6,-0.1
-177.250,-86.250,-24.9,-35.1°,-47.1°,-51.1°,-51.8°,-52.0°,-54.7°,-55.0°,-54.3°,-45.7°,-34.3°,-24.8°,-44.3,-44.2,-0.1
-177.250,-86.750,-26.7,-37.5°,-49.9°,-53.7°,-54.3°,-54.7°,-56.9°,-57.1°,-56.6°,-48.1°,-36.4°,-26.6°,-46.6,-46.5,-0.1
-177.250,-87.250,-27.6,-38.9°,-51.6°,-55.3°,-55.7°,-56.1°,-58.2°,-58.3°,-57.9°,-49.4°,-37.6°,-27.6°,-47.9,-47.9,0.0
-177.250,-87.750,-28.4,-40.1°,-53.0°,-56.5°,-56.9°,-57.4°,-59.2°,-59.3°,-58.9°,-50.5°,-38.5°,-28.4°,-49.0,-48.9,-0.1
-177.250,-88.250,-29.1,-41.1°,-54.3°,-57.7°,-58.0°,-58.6°,-60.2°,-60.2°,-60.0°,-51.5°,-39.3°,-29.1°,-50.0,-49.9,-0.1
-177.250,-88.750,-29.1,-41.2°,-54.5°,-58.0°,-58.2°,-58.7°,-60.2°,-60.2°,-60.1°,-51.6°,-39.4°,-29.0°,-50.1,-50.0,-0.1
-177.250,-89.250,-28.4,-40.8°,-54.2°,-57.6°,-57.7°,-58.3°,-59.7°,-59.7°,-59.6°,-51.1°,-38.8°,-28.4°,-49.6,-49.5,-0.1
-177.250,-89.750,-27.7,-40.2°,-53.6°,-57.0°,-57.2°,-57.7°,-59.1°,-59.1°,-59.0°,-50.5°,-38.1°,-27.7°,-49.0,-48.9,-0.1
-176.750,67.750,-22.3,-23.3°,-18.5°,-16.6°,-6.8°,2.8°,6.0°,5.0°,2.3°,-5.1°,-12.1°,-20.5°,-9.0,-9.1,0.1
-176.750,67.250,-22.4,-23.0°,-17.3°,-16.9°,-7.5°,2.5°,5.7°,4.7°,2.4°,-4.8°,-11.6°,-20.4°,-9.1,-9.1,0.0
-176.750,66.750,-22.5,-22.6°,-16.9°,-16.7°,-8.0°,1.9°,5.3°,4.7°,2.0°,-4.8°,-11.8°,-20.2°,-9.1,-9.1,0.0
-176.750,66.250,-21.7,-21.6°,-17.2°,-15.8°,-7.4°,2.1°,5.7°,5.1°,2.0°,-4.6°,-11.6°,-19.3°,-8.6,-8.7,0.1
-176.750,65.750,-20.1,-20.1°,-17.6°,-14.0°,-6.0°,2.4°,6.3°,5.8°,2.0°,-4.4°,-11.2°,-17.9°,-7.7,-7.9,0.2
-176.750,51.750,-0.9,-1.1°,0.1°,1.4°,3.4°,5.6°,8.0°,9.1°,7.4°,4.5°,1.6°,-0.1°,3.2,3.3,-0.1
-176.750,-84.750,-12.6,-21.0°,-32.0°,-36.7°,-38.0°,-37.9°,-41.7°,-41.9°,-40.9°,-32.1°,-21.3°,-12.6°,-30.7,-30.7,0.0
-176.750,-85.250,-17.0,-25.9°,-37.2°,-41.7°,-43.0°,-42.8°,-46.3°,-46.5°,-45.6°,-37.0°,-25.9°,-17.1°,-35.5,-35.5,0.0
-176.750,-85.750,-23.0,-32.5°,-44.1°,-48.3°,-49.3°,-49.3°,-52.5°,-52.7°,-51.9°,-43.3°,-32.0°,-22.9°,-41.9,-41.8,-0.1
-176.750,-86.250,-24.8,-34.9°,-46.9°,-51.0°,-51.7°,-51.9°,-54.5°,-54.8°,-54.2°,-45.6°,-34.2°,-24.7°,-44.2,-44.1,-0.1
-176.750,-86.750,-26.6,-37.5°,-49.8°,-53.6°,-54.3°,-54.6°,-56.9°,-57.0°,-56.6°,-48.0°,-36.4°,-26.5°,-46.6,-46.5,-0.1
-176.750,-87.250,-27.6,-38.9°,-51.6°,-55.2°,-55.6°,-56.0°,-58.1°,-58.2°,-57.8°,-49.3°,-37.5°,-27.6°,-47.9,-47.8,-0.1
-176.750,-87.750,-28.4,-40.0°,-53.0°,-56.5°,-56.9°,-57.3°,-59.2°,-59.3°,-58.9°,-50.5°,-38.5°,-28.4°,-49.0,-48.9,-0.1
-176.750,-88.250,-29.1,-41.1°,-54.3°,-57.7°,-58.0°,-58.5°,-60.2°,-60.2°,-60.1°,-51.5°,-39.3°,-29.1°,-50.0,-49.9,-0.1
-176.750,-88.750,-29.1,-41.2°,-54.5°,-58.0°,-58.2°,-58.7°,-60.2°,-60.2°,-60.1°,-51.6°,-39.4°,-28.9°,-50.1,-50.0,-0.1
-176.750,-89.250,-28.4,-40.8°,-54.1°,-57.6°,-57.7°,-58.3°,-59.7°,-59.7°,-59.6°,-51.1°,-38.8°,-28.4°,-49.6,-49.5,-0.1
-176.750,-89.750,-27.7,-40.2°,-53.6°,-57.0°,-57.2°,-57.7°,-59.1°,-59.1°,-59.0°,-50.5°,-38.1°,-27.7°,-49.0,-48.9,-0.1
-176.250,67.750,-22.4,-23.5°,-18.0°,-17.1°,-7.2°,2.6°,5.7°,4.7°,2.3°,-5.1°,-12.0°,-20.7°,-9.2,-9.2,0.0
-176.250,67.250,-22.5,-23.2°,-16.7°,-17.4°,-7.9°,2.4°,5.5°,4.5°,2.5°,-4.8°,-11.5°,-20.6°,-9.2,-9.1,-0.1
-176.250,66.750,-22.5,-22.9°,-15.9°,-17.1°,-8.2°,2.1°,5.4°,4.5°,2.4°,-4.6°,-11.4°,-20.4°,-10.0,-9.1,-0.9
-176.250,66.250,-22.7,-22.9°,-17.0°,-17.2°,-8.6°,1.4°,4.7°,4.0°,1.6°,-5.3°,-12.1°,-20.5°,-9.5,-9.6,0.1
-176.250,65.750,-19.3,-19.8°,-16.2°,-13.7°,-5.4°,3.0°,6.6°,6.0°,2.9°,-3.5°,-10.2°,-17.3°,-7.1,-7.2,0.1
-176.250,-43.750,15.0,15.6°,14.6°,12.8°,11.1°,9.2°,8.5°,8.9°,9.5°,10.7°,12.2°,13.7°,11.8,11.8,0.0
-176.250,-44.250,15.0,15.1°,14.5°,12.8°,10.9°,9.4°,8.6°,8.9°,9.6°,10.7°,11.9°,13.8°,11.7,11.8,-0.1
-176.250,-84.750,-9.9,-18.3°,-29.2°,-34.0°,-35.3°,-35.1°,-39.0°,-39.2°,-38.2°,-29.4°,-18.6°,-9.9°,-28.0,-28.0,0.0
-176.250,-85.250,-16.5,-25.5°,-36.7°,-41.2°,-42.5°,-42.4°,-45.8°,-46.0°,-45.2°,-36.5°,-25.4°,-16.6°,-35.0,-35.0,0.0
-176.250,-85.750,-23.3,-32.7°,-44.4°,-48.6°,-49.6°,-49.6°,-52.8°,-53.0°,-52.3°,-43.6°,-32.3°,-23.2°,-42.2,-42.1,-0.1
-176.250,-86.250,-24.7,-34.9°,-46.8°,-50.9°,-51.6°,-51.8°,-54.5°,-54.7°,-54.1°,-45.5°,-34.1°,-24.6°,-44.1,-44.0,-0.1
-176.250,-86.750,-26.6,-37.5°,-49.8°,-53.6°,-54.2°,-54.5°,-56.8°,-57.0°,-56.5°,-48.0°,-36.3°,-26.5°,-46.5,-46.4,-0.1
-176.250,-87.250,-27.5,-38.8°,-51.5°,-55.1°,-55.5°,-55.9°,-58.0°,-58.2°,-57.8°,-49.2°,-37.4°,-27.5°,-47.8,-47.7,-0.1
-176.250,-87.750,-28.4,-40.0°,-53.0°,-56.5°,-56.9°,-57.3°,-59.1°,-59.2°,-58.9°,-50.5°,-38.4°,-28.4°,-48.9,-48.9,0.0
-176.250,-88.250,-29.1,-41.1°,-54.3°,-57.7°,-58.0°,-58.5°,-60.2°,-60.2°,-60.1°,-51.5°,-39.3°,-29.1°,-53.0,-49.9,-3.1
-176.250,-88.750,-29.0,-41.2°,-54.5°,-58.0°,-58.2°,-58.7°,-60.2°,-60.2°,-60.1°,-51.5°,-39.4°,-28.9°,-50.1,-50.0,-0.1
-176.250,-89.250,-28.4,-40.8°,-54.1°,-57.5°,-57.7°,-58.3°,-59.7°,-59.7°,-59.6°,-51.1°,-38.8°,-28.4°,-49.6,-49.5,-0.1
